time,index,rover_pos_x,rover_pos_y,target_pos_x,target_pos_y
,,,,,
0.2,2135,259543,3484716,259543.464379155,3484715.48533984
,,,,,
0.4,2135,259543.01788,3484716,259543.464379155,3484715.48533984
,,,,,
0.6,2135,259543.050018638,3484715.99829185,259543.464379155,3484715.48533984
,,,,,
0.8,2135,259543.09318342,3484715.99195669,259543.464379155,3484715.48533984
,,,,,
1,2135,259543.144134923,3484715.97817778,259543.464379155,3484715.48533984
,,,,,
1.2,2135,259543.199590249,3484715.9549966,259543.464379155,3484715.48533984
,,,,,
1.4,2135,259543.256457361,3484715.92156871,259543.464379155,3484715.48533984
,,,,,
1.6,2135,259543.312102215,3484715.8780339,259543.464379155,3484715.48533984
,,,,,
1.8,2135,259543.364474639,3484715.82518825,259543.464379155,3484715.48533984
,,,,,
2,2135,259543.412053015,3484715.76413743,259543.464379155,3484715.48533984
,,,,,
2.2,2135,259543.453647584,3484715.69603419,259543.464379155,3484715.48533984
,,,,,
2.4,2136,259543.488086925,3484715.62192489,259543.30357466,3484714.99314063
,,,,,
2.6,2136,259543.507747947,3484715.54102319,259543.30357466,3484714.99314063
,,,,,
2.8,2136,259543.513810597,3484715.45675581,259543.30357466,3484714.99314063
,,,,,
3,2136,259543.5079515,3484715.37148873,259543.30357466,3484714.99314063
,,,,,
3.2,2136,259543.491820766,3484715.28675597,259543.30357466,3484714.99314063
,,,,,
3.4,2136,259543.466773482,3484715.20356104,259543.30357466,3484714.99314063
,,,,,
3.6,2137,259543.433735682,3484715.12266004,259543.160716657,3484714.46114289
,,,,,
3.8,2137,259543.400451587,3484715.04142478,259543.160716657,3484714.46114289
,,,,,
4,2137,259543.36697212,3484714.95992152,259543.160716657,3484714.46114289
,,,,,
4.2,2137,259543.333336608,3484714.87820381,259543.160716657,3484714.46114289
,,,,,
4.4,2137,259543.299575263,3484714.796315,259543.160716657,3484714.46114289
,,,,,
4.6,2137,259543.265710999,3484714.71429024,259543.160716657,3484714.46114289
,,,,,
4.8,2139,259543.231760629,3484714.63215831,259542.629882709,3484713.83196058
,,,,,
5,2139,259543.191157206,3484714.55298499,259542.629882709,3484713.83196058
,,,,,
5.2,2139,259543.145792658,3484714.47634203,259542.629882709,3484713.83196058
,,,,,
5.4,2139,259543.096979707,3484714.40176712,259542.629882709,3484713.83196058
,,,,,
5.6,2139,259543.045627615,3484714.32885127,259542.629882709,3484713.83196058
,,,,,
5.8,2139,259542.992368026,3484714.25726295,259542.629882709,3484713.83196058
,,,,,
6,2140,259542.937640575,3484714.18674664,259542.35966221,3484713.59764134
,,,,,
6.2,2140,259542.880305719,3484714.1182974,259542.35966221,3484713.59764134
,,,,,
6.4,2140,259542.82105945,3484714.05146615,259542.35966221,3484713.59764134
,,,,,
6.6,2140,259542.760381408,3484713.98590796,259542.35966221,3484713.59764134
,,,,,
6.8,2140,259542.698603599,3484713.92136546,259542.35966221,3484713.59764134
,,,,,
7,2141,259542.635954908,3484713.85765205,259542.068724234,3484713.25544328
,,,,,
7.2,2141,259542.573742756,3484713.79349969,259542.068724234,3484713.25544328
,,,,,
7.4,2141,259542.511860026,3484713.72901946,259542.068724234,3484713.25544328
,,,,,
7.6,2141,259542.450229869,3484713.66428975,259542.068724234,3484713.25544328
,,,,,
7.8,2142,259542.388797432,3484713.59936598,259541.662483939,3484713.12206942
,,,,,
8,2142,259542.32269475,3484713.53919838,259541.662483939,3484713.12206942
,,,,,
8.2,2142,259542.253330304,3484713.48281746,259541.662483939,3484713.12206942
,,,,,
8.4,2142,259542.18163335,3484713.42943013,259541.662483939,3484713.12206942
,,,,,
8.6,2143,259542.108221855,3484713.37842275,259541.184597758,3484713.08391737
,,,,,
8.8,2143,259542.030230253,3484713.33473542,259541.184597758,3484713.08391737
,,,,,
9,2143,259541.949307535,3484713.29674854,259541.184597758,3484713.08391737
,,,,,
9.2,2143,259541.866463993,3484713.26315373,259541.184597758,3484713.08391737
,,,,,
9.4,2143,259541.782324142,3484713.23294961,259541.184597758,3484713.08391737
,,,,,
9.6,2144,259541.697280084,3484713.20539199,259540.732058752,3484713.14206592
,,,,,
9.8,2144,259541.6102951,3484713.18476153,259540.732058752,3484713.14206592
,,,,,
