time,index,rover_pos_x,rover_pos_y,target_pos_x,target_pos_y,index_slope
,,,,,,
0.2,4270,259543,3484716,259543.464379155,3484715.48533984,0
,,,,,,
0.4,4270,259543.01788,3484716,259543.464379155,3484715.48533984,0
,,,,,,
0.6,4270,259543.050018638,3484715.99829185,259543.464379155,3484715.48533984,0
,,,,,,
0.8,4270,259543.09318342,3484715.99195669,259543.464379155,3484715.48533984,0
,,,,,,
1,4270,259543.144134923,3484715.97817778,259543.464379155,3484715.48533984,0
,,,,,,
1.2,4270,259543.199590249,3484715.9549966,259543.464379155,3484715.48533984,0
,,,,,,
1.4,4270,259543.256457361,3484715.92156871,259543.464379155,3484715.48533984,0
,,,,,,
1.6,4270,259543.312102215,3484715.8780339,259543.464379155,3484715.48533984,0
,,,,,,
1.8,4270,259543.364474639,3484715.82518825,259543.464379155,3484715.48533984,10
,,,,,,
2,4272,259543.412053015,3484715.76413743,259543.30357466,3484714.99314063,0
,,,,,,
2.2,4272,259543.447077548,3484715.69243358,259543.30357466,3484714.99314063,0
,,,,,,
2.4,4272,259543.469322098,3484715.61379875,259543.30357466,3484714.99314063,0
,,,,,,
2.6,4272,259543.479726026,3484715.53119488,259543.30357466,3484714.99314063,0
,,,,,,
2.8,4272,259543.47971191,3484715.4467097,259543.30357466,3484714.99314063,0
,,,,,,
3,4272,259543.47073222,3484715.36171459,259543.30357466,3484714.99314063,0
,,,,,,
3.2,4272,259543.454031778,3484715.27709227,259543.30357466,3484714.99314063,5
,,,,,,
3.4,4273,259543.430537615,3484715.19344547,259543.244506986,3484714.72694524,0
,,,,,,
3.6,4273,259543.404289287,3484715.11009384,259543.244506986,3484714.72694524,0
,,,,,,
3.8,4273,259543.375754274,3484715.02707125,259543.244506986,3484714.72694524,5
,,,,,,
4,4274,259543.345249276,3484714.94440867,259543.160716657,3484714.46114289,0
,,,,,,
4.2,4274,259543.314374835,3484714.86160831,259543.160716657,3484714.46114289,0
,,,,,,
4.4,4274,259543.283198228,3484714.77870098,259543.160716657,3484714.46114289,5
,,,,,,
4.6,4275,259543.251766734,3484714.69571357,259543.02101419,3484714.24470196,0
,,,,,,
4.8,4275,259543.217527238,3484714.61370175,259543.02101419,3484714.24470196,0
,,,,,,
5,4275,259543.18100293,3484714.53256589,259543.02101419,3484714.24470196,10
,,,,,,
5.2,4277,259543.142537535,3484714.45223844,259542.771678667,3484713.96070911,0
,,,,,,
5.4,4277,259543.099143644,3484714.37438543,259542.771678667,3484713.96070911,0
,,,,,,
5.6,4277,259543.051959837,3484714.29870553,259542.771678667,3484713.96070911,5
,,,,,,
5.8,4278,259543.001769945,3484714.2249326,259542.629882709,3484713.83196058,0
,,,,,,
6,4278,259542.948004566,3484714.15368003,259542.629882709,3484713.83196058,5
,,,,,,
6.2,4279,259542.89143615,3484714.08459604,259542.505087109,3484713.73943054,0
,,,,,,
6.4,4279,259542.831652431,3484714.01824512,259542.505087109,3484713.73943054,0
,,,,,,
6.6,4279,259542.76934044,3484713.95423796,259542.505087109,3484713.73943054,5
,,,,,,
6.8,4280,259542.704948102,3484713.89230365,259542.35966221,3484713.59764134,0
,,,,,,
7,4280,259542.639457932,3484713.83151472,259542.35966221,3484713.59764134,5
,,,,,,
7.2,4281,259542.57306194,3484713.77170294,259542.237724757,3484713.42294836,5
,,,,,,
7.4,4282,259542.507969976,3484713.71046398,259542.068724234,3484713.25544328,0
,,,,,,
7.6,4282,259542.443804128,3484713.64824698,259542.068724234,3484713.25544328,5
,,,,,,
7.8,4283,259542.380374608,3484713.58527289,259541.871984975,3484713.14923027,0
,,,,,,
8,4283,259542.315513008,3484713.52376942,259541.871984975,3484713.14923027,0
,,,,,,
8.2,4283,259542.249563048,3484713.46343006,259541.871984975,3484713.14923027,5
,,,,,,
8.4,4284,259542.182760953,3484713.40403191,259541.662483939,3484713.12206942,0
,,,,,,
8.6,4284,259542.111907555,3484713.3495269,259541.662483939,3484713.12206942,5
,,,,,,
8.8,4285,259542.038080925,3484713.29911955,259541.423694511,3484713.1096519,0
,,,,,,
9,4285,259541.959882386,3484713.25580121,259541.423694511,3484713.1096519,0
,,,,,,
9.2,4285,259541.87871676,3484713.21833383,259541.423694511,3484713.1096519,5
,,,,,,
9.4,4286,259541.795475312,3484713.18573529,259541.184597758,3484713.08391737,0
,,,,,,
9.6,4286,259541.710299433,3484713.15858784,259541.184597758,3484713.08391737,5
,,,,,,
9.8,4287,259541.623847664,3484713.13582614,259540.947228567,3484713.10584797,0
,,,,,,
10,4287,259541.536065808,3484713.11890218,259540.947228567,3484713.10584797,5
,,,,,,
10.2,4288,259541.447521558,3484713.10657142,259540.732058752,3484713.14206592,0
,,,,,,
10.4,4288,259541.358400478,3484713.09952794,259540.732058752,3484713.14206592,0
,,,,,,
10.6,4288,259541.269050162,3484713.09657242,259540.732058752,3484713.14206592,675
,,,,,,
10.8,4423,259541.179651203,3484713.09683581,259541.33409717,3484713.56047948,0
,,,,,,
11,4423,259541.095895417,3484713.12809657,259541.33409717,3484713.56047948,0
,,,,,,
11.2,4423,259541.028366637,3484713.18668112,259541.33409717,3484713.56047948,0
,,,,,,
11.4,4423,259540.984994087,3484713.26485478,259541.33409717,3484713.56047948,0
,,,,,,
11.6,4423,259540.969492553,3484713.35290031,259541.33409717,3484713.56047948,0
,,,,,,
11.8,4423,259540.98148571,3484713.44149199,259541.33409717,3484713.56047948,0
,,,,,,
12,4423,259541.017839609,3484713.52316649,259541.33409717,3484713.56047948,0
,,,,,,
12.2,4423,259541.07418089,3484713.59257827,259541.33409717,3484713.56047948,0
,,,,,,
12.4,4423,259541.145907616,3484713.64594134,259541.33409717,3484713.56047948,50
,,,,,,
12.6,4433,259541.228504806,3484713.68014731,259541.450191867,3484714.01062065,5
,,,,,,
12.8,4434,259541.304313404,3484713.727533,259541.495715302,3484714.14973404,5
,,,,,,
13,4435,259541.371023656,3484713.78704848,259541.567823065,3484714.29413604,0
,,,,,,
13.2,4435,259541.428669374,3484713.85538093,259541.567823065,3484714.29413604,5
,,,,,,
13.4,4436,259541.478013707,3484713.92992951,259541.639567767,3484714.44299518,0
,,,,,,
13.6,4436,259541.520847587,3484714.00839997,259541.639567767,3484714.44299518,5
,,,,,,
13.8,4437,259541.558156932,3484714.08964262,259541.697372372,3484714.61325499,0
,,,,,,
14,4437,259541.591175064,3484714.17272186,259541.697372372,3484714.61325499,10765
,,,,,,
14.2,6590,259541.620654683,3484714.25712156,259541.077040335,3484714.54880206,0
,,,,,,
14.4,6590,259541.6201128,3484714.34651991,259541.077040335,3484714.54880206,0
,,,,,,
14.6,6590,259541.591978905,3484714.43137768,259541.077040335,3484714.54880206,0
,,,,,,
14.8,6590,259541.541578186,3484714.5052162,259541.077040335,3484714.54880206,0
,,,,,,
15,6590,259541.474883192,3484714.56474885,259541.077040335,3484714.54880206,0
,,,,,,
15.2,6590,259541.397147357,3484714.60890198,259541.077040335,3484714.54880206,0
,,,,,,
15.4,6590,259541.312502619,3484714.6376705,259541.077040335,3484714.54880206,0
,,,,,,
15.6,6590,259541.224134073,3484714.65121153,259541.077040335,3484714.54880206,0
,,,,,,
15.8,6590,259541.134758632,3484714.64911629,259541.077040335,3484714.54880206,0
,,,,,,
16,6590,259541.047529612,3484714.62953421,259541.077040335,3484714.54880206,0
,,,,,,
16.2,6590,259540.96840612,3484714.58791891,259541.077040335,3484714.54880206,20
,,,,,,
16.4,6594,259540.908641859,3484714.52143138,259540.443463799,3484714.77568865,0
,,,,,,
16.6,6594,259540.830517212,3484714.4779699,259540.443463799,3484714.77568865,0
,,,,,,
16.8,6594,259540.742993705,3484714.45974916,259540.443463799,3484714.77568865,10
,,,,,,
17,6596,259540.65378817,3484714.46564258,259540.205606131,3484714.8658598,0
,,,,,,
17.2,6596,259540.567445886,3484714.48882382,259540.205606131,3484714.8658598,10
,,,,,,
17.4,6598,259540.485931746,3484714.52553628,259540.105320952,3484714.88075497,0
,,,,,,
17.6,6598,259540.408440938,3484714.57011806,259540.105320952,3484714.88075497,110
,,,,,,
17.8,6620,259540.334817349,3484714.62083223,259540.003038071,3484714.80249397,0
,,,,,,
18,6620,259540.259727808,3484714.66934945,259540.003038071,3484714.80249397,70
,,,,,,
18.2,6634,259540.183403601,3484714.71590023,259539.831542932,3484714.80830443,0
,,,,,,
18.4,6634,259540.103487939,3484714.75597325,259539.831542932,3484714.80830443,0
,,,,,,
18.6,6634,259540.020833745,3484714.79004148,259539.831542932,3484714.80830443,25
,,,,,,
18.8,6639,259539.935961357,3484714.8181313,259539.47756648,3484714.87249908,5
,,,,,,
19,6640,259539.849554048,3484714.84106897,259539.437626261,3484714.87231139,15
,,,,,,
19.2,6643,259539.76203729,3484714.85932211,259539.292376505,3484714.88231996,10
,,,,,,
19.4,6645,259539.673760067,3484714.87344627,259539.184267522,3484714.90182227,5
,,,,,,
19.6,6646,259539.585093865,3484714.88487713,259539.12802777,3484714.90237686,5
,,,,,,
19.8,6647,259539.496152432,3484714.89392045,259539.071126795,3484714.91589361,10
,,,,,,
20,6649,259539.407087854,3484714.90165743,259538.958821941,3484714.931987,10
,,,,,,
20.2,6651,259539.317980659,3484714.90888708,259538.840514179,3484714.94877363,5
,,,,,,
20.4,6652,259539.228878689,3484714.91618083,259538.787092282,3484714.9618329,5
,,,,,,
20.6,6653,259539.139824738,3484714.92403919,259538.713353306,3484714.98036452,5
,,,,,,
20.8,6654,259539.050878819,3484714.93303828,259538.623408072,3484715.01109656,5
,,,,,,
21,6655,259538.96217056,3484714.94413804,259538.50356412,3484715.05731824,5
,,,,,,
21.2,6656,259538.873908958,3484714.95835949,259538.383711087,3484715.11056276,5
,,,,,,
21.4,6657,259538.786339282,3484714.97635704,259538.25688069,3484715.1700701,0
,,,,,,
21.6,6657,259538.699680738,3484714.99832649,259538.25688069,3484715.1700701,5
,,,,,,
21.8,6658,259538.613883485,3484715.02345002,259538.132811774,3484715.22563075,0
,,,,,,
22,6658,259538.529002529,3484715.05151393,259538.132811774,3484715.22563075,5
,,,,,,
22.2,6659,259538.444942334,3484715.08194818,259538.017233121,3484715.29227825,0
,,,,,,
22.4,6659,259538.361931438,3484715.1151378,259538.017233121,3484715.29227825,5
,,,,,,
22.6,6660,259538.279860769,3484715.15058869,259537.900980156,3484715.35689999,5
,,,,,,
22.8,6661,259538.198773323,3484715.18823422,259537.801980743,3484715.41391232,0
,,,,,,
23,6661,259538.118638311,3484715.22786678,259537.801980743,3484715.41391232,10
,,,,,,
23.2,6663,259538.039339545,3484715.26914711,259537.665757683,3484715.52005452,30
,,,,,,
23.4,6669,259537.961455294,3484715.31303793,259537.619840706,3484715.5628949,255
,,,,,,
23.6,6720,259537.885149197,3484715.35961839,259538.087428884,3484714.81120076,0
,,,,,,
23.8,6720,259537.799673361,3484715.3858146,259538.087428884,3484714.81120076,0
,,,,,,
24,6720,259537.710280764,3484715.38696506,259538.087428884,3484714.81120076,0
,,,,,,
24.2,6720,259537.625001244,3484715.36013665,259538.087428884,3484714.81120076,0
,,,,,,
24.4,6720,259537.553774205,3484715.30610824,259538.087428884,3484714.81120076,0
,,,,,,
24.6,6720,259537.505929131,3484715.23058864,259538.087428884,3484714.81120076,0
,,,,,,
24.8,6720,259537.48702244,3484715.14321075,259538.087428884,3484714.81120076,0
,,,,,,
25,6720,259537.49724721,3484715.05439738,259538.087428884,3484714.81120076,390
,,,,,,
25.2,6798,259537.532531428,3484714.97225492,259537.960337614,3484715.52563732,0
,,,,,,
25.4,6798,259537.59259336,3484714.90603616,259537.960337614,3484715.52563732,0
,,,,,,
25.6,6798,259537.671806347,3484714.86459146,259537.960337614,3484715.52563732,0
,,,,,,
25.8,6798,259537.760509342,3484714.85344971,259537.960337614,3484715.52563732,0
,,,,,,
26,6798,259537.847792242,3484714.87279022,259537.960337614,3484715.52563732,0
,,,,,,
26.2,6798,259537.924896762,3484714.9180368,259537.960337614,3484715.52563732,0
,,,,,,
26.4,6798,259537.986934276,3484714.98240843,259537.960337614,3484715.52563732,0
,,,,,,
26.6,6798,259538.032452523,3484715.05935289,259537.960337614,3484715.52563732,0
,,,,,,
26.8,6798,259538.06203809,3484715.14371552,259537.960337614,3484715.52563732,0
,,,,,,
27,6798,259538.077054223,3484715.2318454,259537.960337614,3484715.52563732,0
,,,,,,
27.2,6798,259538.078843325,3484715.3212275,259537.960337614,3484715.52563732,0
,,,,,,
27.4,6798,259538.068261831,3484715.40999907,259537.960337614,3484715.52563732,0
,,,,,,
27.6,6798,259538.045268742,3484715.49639165,259537.960337614,3484715.52563732,15
,,,,,,
27.8,6801,259538.008109268,3484715.57770299,259538.159180111,3484716.0385923,0
,,,,,,
